question,intent
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
Who won the Canadian GP?,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Japanese GP?,race_results
Who won the Monaco GP?,race_results
Who won the Australian GP?,race_results
Who won the British GP?,race_results
Who won the Canadian GP?,race_results
Tell me the podium finishers at the British GP.,race_results
What was the final result of the Australian GP?,race_results
What was the final result of the Monaco GP?,race_results
What was the final result of the Monaco GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Canadian GP?,race_results
Who won the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Who won the Japanese GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the British GP?,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Who won the British GP?,race_results
What was the final result of the British GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Spanish GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Australian GP?,race_results
Who won the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Spanish GP.,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Who won the Spanish GP?,race_results
What was the final result of the Canadian GP?,race_results
What was the final result of the Australian GP?,race_results
Who won the Japanese GP?,race_results
Tell me the podium finishers at the British GP.,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Australian GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Who won the Australian GP?,race_results
What was the final result of the Japanese GP?,race_results
Who won the Canadian GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Canadian GP.,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Monaco GP?,race_results
Tell me the podium finishers at the British GP.,race_results
What was the final result of the Spanish GP?,race_results
Who won the Spanish GP?,race_results
Who won the Australian GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
What was the final result of the Spanish GP?,race_results
Who won the British GP?,race_results
What was the final result of the Monaco GP?,race_results
What was the final result of the Spanish GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Who won the Spanish GP?,race_results
Who won the Monaco GP?,race_results
What was the final result of the Spanish GP?,race_results
Tell me the podium finishers at the Monaco GP.,race_results
Who won the British GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
What was the final result of the British GP?,race_results
What was the final result of the Canadian GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Spanish GP?,race_results
Tell me the podium finishers at the Japanese GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the British GP?,race_results
What was the final result of the Canadian GP?,race_results
What was the final result of the Spanish GP?,race_results
Who won the Monaco GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
What was the final result of the Japanese GP?,race_results
Tell me the podium finishers at the Australian GP.,race_results
Tell me the podium finishers at the British GP.,race_results
Who won the Japanese GP?,race_results
What was the final result of the Monaco GP?,race_results
Who got pole at the Monaco GP?,qualifying_results
How did qualifying go in the Monaco GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
How did qualifying go in the Japanese GP?,qualifying_results
What was the qualifying order for the Canadian GP?,qualifying_results
How did qualifying go in the Australian GP?,qualifying_results
What was the qualifying order for the Monaco GP?,qualifying_results
What was the qualifying order for the Japanese GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
What was the qualifying order for the Australian GP?,qualifying_results
How did qualifying go in the British GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
How did qualifying go in the Canadian GP?,qualifying_results
Who got pole at the Canadian GP?,qualifying_results
What was the qualifying order for the Spanish GP?,qualifying_results
